MaxPitDepth,Time,pH,PipeSoilPotential,SoilResistivity,WaterContentpc,BulkDensity,DissolvedChloride,Bicarbonate,SulfateConcentration,RadoxPotential,CoatingType,Class
2.57,10,4.85,?0.82,113.1,15.8,1.31,59.87,11.1,11.3,240,NC,CL
0.58,20,5.89,?0.90,93.4,16,1.33,11.45,11.1,74.58,301,WTC,CL
0.48,21,7.02,?0.90,34.5,24.1,1.37,3.52,11.1,64.75,155,WTC,CL
1.96,29,6.4,?0.88,29.8,22.1,1.31,32.28,8.32,132.3,185.9,CTC,CL
1.96,25,6.67,?0.90,15.7,19.1,1.31,11.45,12.94,85.7,235,CTC,CL
1.19,5,5.9,?0.79,18.8,24.5,1.3,26.41,10.1,162.9,159,NC,CL
0.48,26,6.81,?0.80,10.8,22.1,1.33,19.37,11.1,99.56,233,CTC,CL
3.1,18,4.95,?1.00,19.7,27.4,1.31,62.28,8.32,132.3,213,NC,CL
0.94,22,5.79,?1.10,72.3,28.3,1.31,14.09,11.1,99.3,190,WTC,CL
0.41,12,6.98,?1.09,40.4,30.6,1.31,8.27,24.03,50.64,98,FBE,CL
1.59,18,4.9,?1.00,102.7,17.4,1.31,32.81,8.32,149.3,233,WTC,CL
1.96,22,5.69,?1.09,42.3,28.3,1.31,26.99,5.55,109.3,150,WTC,CL
1.04,26,6.89,?0.80,15.6,23.9,1.33,17.11,11.1,75.01,271.3,CTC,CL
2.1,26,5.09,?0.76,16.4,26.8,1.33,29.93,11.1,157.7,241.5,CTC,CL
1.17,21,5.5,?1.14,21.1,19.1,1.33,16.62,8.32,60.47,240,CTC,CL
1.59,26,6.59,?0.73,14.4,27.8,1.33,16.75,8.32,103.5,199,CTC,CL
1.17,5,5.07,?0.71,3.8,26.1,1.35,18.27,10.74,77.33,89,WTC,CL
0.91,9,8.01,?0.79,2.1,33.7,1.32,152.3,16.22,677.4,19,NC,CL
1.04,22,5.74,?1.03,44,25.1,1.32,29.75,11.1,177.4,70,WTC,CL
1.17,15,6.42,?0.90,34.5,24.1,1.3,33.52,11.1,64.75,155,NC,CL
1.4,21,7.12,?0.71,34.1,15.2,1.32,48.27,8.32,16.85,162,WTC,CL
4.15,16,4.99,?0.60,30,18.9,1.33,100.8,5.55,15.57,108,NC,CL
0.94,15,7.1,?0.56,34.5,24.1,1.38,33.52,11.1,64.75,150,NC,CL
2.21,30,5.65,?0.91,36.6,27.7,1.36,13.33,13.87,108.4,190,CTC,CL
0.79,17,5.84,?0.95,56,27.7,1.32,30.44,12.93,343.3,235,WTC,CL
0.81,42,7.26,?0.47,7.2,22.9,1.31,94.59,55.39,958.9,98,CTC,CL
8.13,42,6.3,?0.49,6.3,31.5,1.31,125.4,45.37,590.4,109,CTC,CL
7.7,42,6.58,?0.49,4.9,33.3,1.31,107,43.7,498,107,CTC,CL
